"hw";"num_threads";"dataset_size";"init_time";"eval_time";"total_time"
"cpu";1;100;3.5241e-05;0.00151655;0.0015518
"cpu";6;100;3.303e-06;0.000885832;0.000889135
"gpu";"BLOCK=32";100;0.42384;0.00495719;0.428797
"gpu";"BLOCK=64";100;0.00043322;0.00508114;0.00551436
"gpu";"BLOCK=128";100;0.000432758;0.00528889;0.00572165
"gpu";"BLOCK=256";100;0.000430082;0.00520046;0.00563054
"gpu";"BLOCK=512";100;0.000427178;0.00514684;0.00557402
"gpu";"BLOCK=1024";100;0.00042766;0.00512972;0.00555738
"cpu";1;500;1.9637e-05;0.00766428;0.00768391
"cpu";6;500;1.1186e-05;0.00367688;0.00368807
"gpu";"BLOCK=32";500;0.00204703;0.00563827;0.0076853
"gpu";"BLOCK=64";500;0.00197247;0.00556387;0.00753634
"gpu";"BLOCK=128";500;0.00184449;0.00543019;0.00727467
"gpu";"BLOCK=256";500;0.0018395;0.00582225;0.00766175
"gpu";"BLOCK=512";500;0.00183422;0.00707172;0.00890594
"gpu";"BLOCK=1024";500;0.00183649;0.00707044;0.00890693
"cpu";1;1000;6.4657e-05;0.015612;0.0156767
"cpu";6;1000;2.4446e-05;0.00776355;0.00778799
"gpu";"BLOCK=32";1000;0.00374151;0.00637016;0.0101117
"gpu";"BLOCK=64";1000;0.00368415;0.00630575;0.0099899
"gpu";"BLOCK=128";1000;0.00358448;0.00627559;0.00986007
"gpu";"BLOCK=256";1000;0.00465029;0.00623807;0.0108884
"gpu";"BLOCK=512";1000;0.00357692;0.00717861;0.0107555
"gpu";"BLOCK=1024";1000;0.00357944;0.00970441;0.0132838
"cpu";1;10000;0.00149964;0.175548;0.177047
"cpu";2;10000;0.00125555;0.118958;0.120213
"cpu";3;10000;0.000491642;0.101985;0.102477
"cpu";4;10000;0.000545973;0.095522;0.0960679
"cpu";5;10000;0.000436045;0.0925986;0.0930347
"cpu";6;10000;0.000458187;0.0974187;0.0978769
"gpu";"BLOCK=32";10000;0.0379864;0.0304432;0.0684296
"gpu";"BLOCK=64";10000;0.0376663;0.0296118;0.0672781
"gpu";"BLOCK=128";10000;0.0352396;0.0297076;0.0649472
"gpu";"BLOCK=256";10000;0.0418535;0.0305337;0.0723872
"gpu";"BLOCK=512";10000;0.0397478;0.029008;0.0687558
"gpu";"BLOCK=1024";10000;0.0356611;0.0317365;0.0673976
